DPI peak;promoter name;max expression (TPM);median expression (TPM);5th;25th;75th;95th;kurtosis;skew;TATA;CpG;Gene Symbol
"chr15:59185535..59185552,-";p8@SLTM;"3,1";"0,3";0;0;"0,7";"1,6";"3,3204359";"1,739911961";TATA-less;CpG-less;SLTM
"chr7:143002766..143002787,+";p3@CASP2;"3,1";"0,3";0;0;"0,6";"1,4";"4,124806406";"1,79034353";TATA-less;CpG-less;CASP2
"chr15:51200859..51200870,+";p2@AP4E1;"3,1";"0,3";0;0;"0,6";"1,2";"5,840924437";"1,87843547";TATA-less;CpG;AP4E1
"chr15:75074614..75074619,+";p7@CSK;"3,1";"0,3";0;0;"0,6";"1,3";"5,298758546";"1,976411397";TATA-less;CpG;CSK
"chr10:99894380..99894390,+";p2@C10orf28;"3,1";"0,3";0;0;"0,6";"1,26";"5,536364302";"1,987669987";TATA-less;CpG;C10orf28
"chr5:179285848..179285873,-";p2@C5orf45;"3,1";"0,3";0;0;"0,6";"1,4";"6,041945842";"2,114729393";TATA-less;CpG;C5orf45
"chrX:135056216..135056227,-";p5@MMGT1;"3,2";"0,5";0;"0,2";"0,9";"1,7";"1,44520421";"1,148053153";TATA-less;CpG-less;MMGT1
"chr11:125483999..125484015,+";p6@STT3A;"3,2";"0,3";0;0;"0,7";"1,6";"2,323595845";"1,477960402";TATA-less;CpG-less;STT3A
"chr22:21271773..21271782,+";p4@CRKL;"3,2";"0,4";0;0;"0,7";"1,4";"3,69832878";"1,566111314";TATA-less;CpG;CRKL
"chr1:180471768..180471780,-";p6@ACBD6;"3,2";"0,3";0;0;"0,7";"1,4";"3,754172473";"1,623846236";TATA-less;CpG;ACBD6
"chr1:44115773..44115783,+";p6@KDM4A;"3,2";"0,3";0;0;"0,6";"1,36";"4,231374211";"1,697007128";TATA-less;CpG;KDM4A
"chr6:82462435..82462450,-";p4@FAM46A;"3,2";"0,3";0;0;"0,7";"1,56";"3,686853495";"1,743051048";TATA-less;CpG;FAM46A
"chr4:120988052..120988076,+";"p2@ENST00000503073,p2@ENST00000511064";"3,2";"0,3";0;0;"0,7";"1,7";"3,793600091";"1,828665557";TATA-less;CpG;ENST00000511064
"chr9:139702232..139702250,-";"p@chr9:139702232..139702250,-";"3,3";"0,3";0;0;"0,7";"1,5";"3,779442792";"1,73813877";TATA-less;CpG;"chr9:139702232..139702250,-"
"chr16:56485508..56485513,+";p3@OGFOD1;"3,3";"0,3";0;0;"0,6";"1,5";"3,543115255";"1,738355757";TATA-less;CpG;OGFOD1
"chr15:68584987..68584995,+";"p@chr15:68584987..68584995,+";"3,3";"0,3";0;0;"0,6";"1,4";"3,963471312";"1,750015368";TATA-less;CpG-less;"chr15:68584987..68584995,+"
"chr12:32101179..32101180,+";p1@ENST00000484010;"3,3";"0,3";0;0;"0,6";"1,3";"4,696854605";"1,83109047";TATA-less;CpG-less;ENST00000484010
"chr11:47574664..47574667,-";p7@CELF1;"3,3";"0,3";0;0;"0,6";"1,3";"6,006337041";"1,939791194";TATA-less;CpG;CELF1
"chr16:58549378..58549387,+";p2@SETD6;"3,3";"0,3";0;0;"0,7";"1,3";"6,157668706";"1,964541617";TATA-less;CpG;SETD6
"chr10:114207322..114207346,-";p5@ZDHHC6;"3,3";"0,3";0;0;"0,6";"1,3";"5,677086319";"1,992624519";TATA-less;CpG-less;ZDHHC6
"chr1:161091806..161091817,-";"p@chr1:161091806..161091817,-";"3,4";"0,3";0;0;"0,7";"1,4";"3,34678591";"1,537932493";TATA-less;CpG-less;"chr1:161091806..161091817,-"
"chr19:17581187..17581208,+";p2@SLC27A1;"3,4";"0,3";0;0;"0,7";"1,6";"3,181151041";"1,607223245";TATA-less;CpG;SLC27A1
"chr6:132102486..132102488,-";p1@ENST00000401879;"3,4";"0,3";0;0;"0,7";"1,4";"3,964164038";"1,672952322";TATA-less;CpG-less;ENST00000401879
"chr19:15443133..15443144,-";p5@BRD4;"3,4";"0,3";0;0;"0,6";"1,1";"5,683190968";"1,726720531";TATA-less;CpG-less;BRD4
"chr1:10093090..10093113,+";p3@UBE4B;"3,4";"0,4";0;0;"0,7";"1,6";"4,634194598";"1,854150757";TATA-less;CpG;UBE4B
"chr11:57103283..57103290,-";p3@SSRP1;"3,4";"0,3";0;0;"0,6";"1,3";"5,58048217";"1,868739557";TATA-less;CpG;SSRP1
"chr8:71315585..71315605,-";p8@NCOA2;"3,4";"0,3";0;0;"0,6";"1,4";"4,82757752";"1,933218956";TATA-less;CpG;NCOA2
"chr11:65764795..65764798,-";"p@chr11:65764795..65764798,-";"3,4";"0,3";0;0;"0,6";"1,3";"6,182478989";"1,946399002";TATA-less;CpG-less;"chr11:65764795..65764798,-"
"chr3:96336539..96336548,-";"p@chr3:96336539..96336548,-";"3,4";"0,3";0;0;"0,7";"1,5";"5,162941622";"1,983752721";TATA-less;CpG-less;"chr3:96336539..96336548,-"
"chr16:47001543..47001557,-";"p@chr16:47001543..47001557,-";"3,4";"0,3";0;0;"0,7";"1,46";"5,556364594";"2,012382887";TATA-less;CpG-less;"chr16:47001543..47001557,-"
"chr11:58385197..58385200,+";"p@chr11:58385197..58385200,+";"3,4";"0,3";0;0;"0,6";"1,2";"8,947885139";"2,441869994";TATA-less;CpG-less;"chr11:58385197..58385200,+"
"chr9:98908259..98908260,+";p1@EIF4BP3;"3,5";"0,6";0;"0,3";"1,1";"1,9";"0,601148489";"0,860083002";TATA-less;CpG-less;EIF4BP3
"chr12:6772303..6772312,-";p2@ING4;"3,5";"0,4";0;0;"0,7";"1,5";"3,497639906";"1,537625378";TATA-less;CpG;ING4
"chr5:140038531..140038548,+";p2@IK;"3,5";"0,4";0;0;"0,8";"1,7";"2,633948292";"1,540553073";TATA-less;CpG-less;IK
"chr5:61699657..61699666,-";p3@DIMT1;"3,5";"0,3";0;0;"0,7";"1,5";"3,531841227";"1,6098498";TATA-less;CpG;DIMT1
"chr17:47785552..47785565,-";p5@SLC35B1;"3,5";"0,3";0;0;"0,6";"1,4";"4,136245439";"1,701757316";TATA-less;CpG-less;SLC35B1
"chr17:46178527..46178566,-";p4@CBX1;"3,5";"0,3";0;0;"0,8";2;"3,216227928";"1,751554726";TATA-less;CpG;CBX1
"chr20:45318157..45318168,-";p6@TP53RK;"3,5";"0,3";0;0;"0,6";"1,3";"5,130681631";"1,84493377";TATA-less;CpG;TP53RK
"chr18:51751132..51751139,-";p9@MBD2;"3,5";"0,3";0;0;"0,6";"1,4";"4,717409728";"1,856694525";TATA-less;CpG;MBD2
"chr2:42396443..42396454,+";p4@EML4;"3,5";"0,3";0;0;"0,6";"1,4";"4,855858253";"1,859014238";TATA-less;CpG;EML4
"chr7:44805794..44805816,+";p5@ZMIZ2;"3,5";"0,3";0;0;"0,6";"1,4";"5,924869774";"1,94852375";TATA-less;CpG-less;ZMIZ2
"chr15:49447835..49447845,-";p2@COPS2;"3,5";"0,4";0;0;"0,6";"1,3";"7,001800833";"2,089428446";TATA-less;CpG-less;COPS2
"chr19:11708229..11708240,+";p3@ZNF627;"3,5";"0,3";0;0;"0,5";"1,3";"8,296029787";"2,358191031";TATA-less;CpG-less;ZNF627
"chrX:153775736..153775752,-";p6@G6PD;"3,5";"0,3";0;0;"0,5";"1,2";"9,279255666";"2,39021177";TATA-less;CpG;G6PD
"chr9:97136766..97136775,+";p3@HIATL1;"3,6";"0,7";0;"0,3";"1,1";"1,8";"1,73125348";"0,985369593";TATA-less;CpG;HIATL1
"chr4:57843785..57843796,-";p4@NOA1;"3,6";"0,7";0;"0,2";"1,2";2;"1,216594711";"1,017258908";TATA-less;CpG;NOA1
"chr14:31028331..31028340,+";p2@G2E3;"3,6";"0,5";0;"0,2";1;"1,86";"2,01420233";"1,262287171";TATA-less;CpG;G2E3
"chr10:65281184..65281195,+";p3@REEP3;"3,6";"0,5";0;0;"0,9";"1,6";"2,320961334";"1,291340379";TATA-less;CpG;REEP3
"chr1:28696264..28696275,+";p5@PHACTR4;"3,6";"0,4";0;0;"0,9";"1,9";"2,623347673";"1,52758348";TATA-less;CpG;PHACTR4
"chr5:149865361..149865375,+";p8@NDST1;"3,6";"0,4";0;0;"0,8";"1,6";"3,278864193";"1,554792548";TATA-less;CpG;NDST1
"chr2:152976906..152976909,-";"p@chr2:152976906..152976909,-";"3,6";"0,4";0;0;"0,8";"1,7";"3,91470178";"1,659363526";TATA-less;CpG-less;"chr2:152976906..152976909,-"
"chr6:28235131..28235151,+";p2@ZNF187;"3,6";"0,4";0;0;"0,8";"1,86";"3,347017203";"1,686073692";TATA-less;CpG;ZNF187
"chr9:102861496..102861507,+";p2@INVS;"3,6";"0,3";0;0;"0,6";"1,1";"5,366797403";"1,689716952";TATA-less;CpG;INVS
"chr10:92660919..92660921,+";"p@chr10:92660919..92660921,+";"3,6";"0,4";0;0;"0,7";"1,4";"4,866132422";"1,721804277";TATA-less;CpG-less;"chr10:92660919..92660921,+"
"chr1:45805907..45805918,+";p5@TOE1;"3,6";"0,3";0;0;"0,7";"1,6";"3,954353214";"1,855262853";TATA-less;CpG;TOE1
"chr5:92956174..92956185,-";p4@FAM172A;"3,6";"0,4";0;0;"0,7";2;"4,329545764";"1,952521868";TATA-less;CpG;FAM172A
"chr4:6675762..6675773,+";p3@LOC93622;"3,6";"0,3";0;0;"0,6";"1,3";"6,657329996";"1,976823305";TATA-less;CpG;LOC93622
"chr6:42946975..42946986,-";p3@PEX6;"3,6";"0,3";0;0;"0,6";"1,4";"5,704274081";"2,001613225";TATA-less;CpG;PEX6
"chr11:73498973..73498982,+";p2@MRPL48;"3,6";"0,3";0;0;"0,7";"1,5";"5,731367245";"2,030272467";TATA-less;CpG;MRPL48
"chr2:204103954..204103975,-";"p@chr2:204103954..204103975,-";"3,6";"0,3";0;0;"0,6";"1,3";"6,511748195";"2,058734701";TATA-less;CpG;"chr2:204103954..204103975,-"
"chr22:30742356..30742383,-";p4@SF3A1;"3,6";"0,3";0;0;"0,6";"1,5";"6,070978029";"2,075128941";TATA-less;CpG-less;SF3A1
"chr4:2877711..2877723,-";"p@chr4:2877711..2877723,-";"3,6";"0,3";0;0;"0,7";"1,6";"6,044423521";"2,08573135";TATA-less;CpG-less;"chr4:2877711..2877723,-"
"chr9:100395756..100395784,-";p5@TSTD2;"3,6";"0,3";0;0;"0,6";"1,3";"6,536504731";"2,12538397";TATA-less;CpG;TSTD2
"chr2:85788652..85788661,-";p4@GGCX;"3,6";"0,3";0;0;"0,6";"1,3";"7,559750349";"2,176668042";TATA-less;CpG;GGCX
"chrX:119695219..119695239,-";p19@CUL4B;"3,6";"0,3";0;0;"0,6";"1,3";"7,270208444";"2,186316501";TATA-less;CpG;CUL4B
"chr1:193054581..193054595,+";"p@chr1:193054581..193054595,+";"3,6";"0,3";0;0;"0,6";"1,3";"7,321349123";"2,188397924";TATA-less;CpG-less;"chr1:193054581..193054595,+"
"chr12:125052195..125052212,-";p11@NCOR2;"3,6";"0,3";0;0;"0,6";"1,3";"8,198975289";"2,193956138";TATA-less;CpG-less;NCOR2
"chr2:27886684..27886714,-";p8@SUPT7L;"3,6";"0,3";0;0;"0,6";"1,3";"10,31052879";"2,519877677";TATA-less;CpG;SUPT7L
"chr16:5415695..5415697,+";"p@chr16:5415695..5415697,+";"3,7";"0,5";0;"0,1";"0,9";"1,7";"2,518148142";"1,357523679";TATA-less;CpG-less;"chr16:5415695..5415697,+"
"chr3:28390557..28390568,-";p7@AZI2;"3,7";"0,4";0;"0,1";"0,8";"1,7";"3,329449227";"1,538328054";TATA-less;CpG;AZI2
"chr6:86352930..86352941,-";p6@SYNCRIP;"3,7";"0,4";0;0;"0,9";"1,9";"2,821522849";"1,549683816";TATA-less;CpG;SYNCRIP
"chr2:44168973..44168977,-";"p@chr2:44168973..44168977,-";"3,7";"0,3";0;0;"0,9";"1,86";"2,876950825";"1,569974455";TATA-less;CpG-less;"chr2:44168973..44168977,-"
"chr5:165456334..165456336,-";p1@ENST00000520308;"3,7";"0,4";0;0;"0,7";"1,4";"4,078363118";"1,594036023";TATA-less;CpG-less;ENST00000520308
"chr7:4721870..4721878,+";p2@FOXK1;"3,7";"0,5";0;"0,1";"0,8";"1,56";"4,600297749";"1,663385344";TATA-less;CpG;FOXK1
"chr8:26228887..26228891,+";p1@AL050206;"3,7";"0,4";0;"0,1";"0,8";"1,8";"3,669615726";"1,698846269";TATA;CpG-less;AL050206
"chr1:154229555..154229569,+";p6@UBAP2L;"3,7";"0,4";0;"0,1";"0,9";"1,9";"3,893427955";"1,72060774";TATA-less;CpG-less;UBAP2L
"chr3:176914963..176914974,-";p14@TBL1XR1;"3,7";"0,3";0;0;"0,6";"1,3";"4,748380432";"1,728515845";TATA-less;CpG-less;TBL1XR1
"chr11:27517694..27517705,-";"p@chr11:27517694..27517705,-";"3,7";"0,3";0;0;"0,6";"1,3";"6,31889108";"1,87678743";TATA-less;CpG-less;"chr11:27517694..27517705,-"
"chr1:207080940..207080948,+";p1@ENST00000446057;"3,8";"0,5";0;"0,1";"0,9";"1,7";"3,122049174";"1,454492615";TATA-less;CpG-less;ENST00000446057
"chr6:13712112..13712123,-";p9@RANBP9;"3,8";"0,4";0;0;"0,8";"1,5";"3,523001694";"1,484821512";TATA-less;CpG;RANBP9
"chrX:119695246..119695270,-";p15@CUL4B;"3,8";"0,4";0;0;"0,8";"1,6";"3,530148069";"1,559666756";TATA-less;CpG-less;CUL4B
"chr14:77787177..77787190,-";p2@POMT2;"3,8";"0,3";0;0;"0,7";"1,3";"4,904849318";"1,666939128";TATA-less;CpG;POMT2
"chr4:151936896..151936901,-";p4@LRBA;"3,8";"0,4";0;0;"0,7";"1,3";"4,635284375";"1,679786149";TATA-less;CpG;LRBA
"chrX:54592277..54592281,+";"p@chrX:54592277..54592281,+";"3,8";"0,4";0;0;"0,8";"1,5";"4,704393455";"1,694828827";TATA-less;CpG-less;"chrX:54592277..54592281,+"
"chr20:18465867..18465875,+";p1@RPL21P3;"3,8";"0,4";0;0;"0,8";"1,5";"4,691535331";"1,718091723";TATA-less;CpG-less;RPL21P3
"chr1:27816693..27816702,-";p4@WASF2;"3,8";"0,5";0;"0,2";"0,9";"1,7";"4,397334182";"1,72213544";TATA-less;CpG;WASF2
"chr7:135073906..135073910,-";"p@chr7:135073906..135073910,-";"3,8";"0,4";0;0;"0,9";"2,1";"3,232139849";"1,723851497";TATA-less;CpG-less;"chr7:135073906..135073910,-"
"chr7:7782208..7782209,-";p1@ENST00000423039;"3,8";"0,3";0;0;"0,8";"1,76";"4,351126529";"1,843510162";TATA-less;CpG-less;ENST00000423039
"chrX:48815611..48815619,-";p7@OTUD5;"3,8";"0,3";0;0;"0,7";"1,4";"5,713319722";"1,917433043";TATA-less;CpG;OTUD5
"chr9:111696328..111696339,-";p3@IKBKAP;"3,8";"0,3";0;0;"0,6";"1,3";"6,318099344";"1,935202573";TATA-less;CpG;IKBKAP
"chr14:73563627..73563639,+";p8@RBM25;"3,8";"0,3";0;0;"0,7";"1,56";"5,665749552";"1,945255103";TATA-less;CpG-less;RBM25
"chrX:143344067..143344086,+";"p@chrX:143344067..143344086,+";"3,8";"0,4";0;0;"0,7";"1,5";"5,365215623";"1,966507165";TATA;CpG-less;"chrX:143344067..143344086,+"
"chr14:45580861..45580864,+";"p@chr14:45580861..45580864,+";"3,8";"0,3";0;0;"0,6";"1,3";"6,001360647";"1,971183297";TATA-less;CpG-less;"chr14:45580861..45580864,+"
"chr10:13342083..13342094,-";p5@PHYH;"3,8";"0,4";0;0;"0,7";"1,5";"6,086370535";"1,983733367";TATA-less;CpG;PHYH
"chr2:187454877..187454882,+";p5@ITGAV;"3,8";"0,3";0;0;"0,6";"1,4";"6,093818321";"1,998268628";TATA-less;CpG;ITGAV
"chr17:46970178..46970180,+";p4@ATP5G1;"3,8";"0,3";0;0;"0,5";"1,2";"8,210613848";"2,178832731";TATA-less;CpG;ATP5G1
"chr17:53046058..53046069,-";p3@COX11;"3,9";"0,7";0;"0,3";"1,3";"2,2";"1,374787663";"1,065912679";TATA-less;CpG;COX11
"chr5:140998512..140998521,-";p5@DIAPH1;"3,9";"0,6";0;"0,2";1;"1,8";"2,313709056";"1,235086776";TATA-less;CpG;DIAPH1
"chr9:21802613..21802624,+";p3@MTAP;"3,9";"0,6";0;0;1;"1,8";"2,58672693";"1,313608546";TATA-less;CpG;MTAP
"chr3:49131788..49131812,-";p10@QRICH1;"3,9";"0,4";0;"0,1";"0,8";"1,5";"2,923287666";"1,364285973";TATA-less;CpG;QRICH1
"chr1:227127954..227127965,+";p3@ADCK3;"3,9";"0,5";0;"0,1";"0,9";"1,76";"2,580832082";"1,419483286";TATA-less;CpG;ADCK3
"chr13:50159732..50159743,-";p4@RCBTB1;"3,9";"0,4";0;0;"0,7";"1,4";"3,751087169";"1,479531158";TATA-less;CpG;RCBTB1
"chr19:44079770..44079781,-";p2@XRCC1;"3,9";"0,5";0;"0,2";"0,9";"1,5";"3,864230753";"1,500864022";TATA-less;CpG;XRCC1
"chr2:85198093..85198115,-";"p@chr2:85198093..85198115,-";"3,9";"0,6";0;"0,2";1;2;"2,944709325";"1,505739498";TATA-less;CpG;"chr2:85198093..85198115,-"
"chr19:34663364..34663369,+";p4@LSM14A;"3,9";"0,6";0;"0,2";"0,9";"1,8";"3,833032583";"1,588138706";TATA-less;CpG;LSM14A
"chr5:133706836..133706852,+";p5@UBE2B;"3,9";"0,4";0;0;"0,8";"1,7";"4,184900025";"1,741029012";TATA-less;CpG-less;UBE2B
"chr17:43129044..43129062,-";p5@DCAKD;"3,9";"0,4";0;0;"0,8";2;"3,921161416";"1,816685114";TATA-less;CpG-less;DCAKD
"chr9:99417630..99417637,-";p3@C9orf21;"3,9";"0,4";0;0;"0,7";"1,5";"5,628364557";"1,845661953";TATA-less;CpG-less;C9orf21
"chr14:51135073..51135082,-";p4@SAV1;"3,9";"0,4";0;"0,1";"0,8";"1,5";"6,512485515";"1,896171271";TATA-less;CpG;SAV1
"chr16:70148127..70148149,+";p2@PDPR;"3,9";"0,4";0;"0,1";"0,8";"1,6";"5,369385073";"1,924777392";TATA-less;CpG;PDPR
"chr4:56413067..56413086,-";p4@CLOCK;4;"0,7";0;"0,3";"1,2";2;"1,465165387";"0,998153334";TATA-less;CpG;CLOCK
"chr1:178994981..178995006,+";p3@FAM20B;4;"0,8";0;"0,4";"1,3";"2,3";"1,540204646";"1,067962242";TATA-less;CpG;FAM20B
"chrX:103411147..103411158,+";p5@FAM199X;4;"0,5";0;"0,2";1;2;"2,00310068";"1,299527767";TATA-less;CpG;FAM199X
"chr14:64009837..64009848,-";p4@PPP2R5E;4;"0,6";0;"0,3";1;"1,86";"2,457805919";"1,309665886";TATA-less;CpG;PPP2R5E
"chrX:46306698..46306709,+";p3@ZNF673;4;"0,7";0;"0,3";"1,1";"2,2";"2,257672401";"1,338907685";TATA-less;CpG;ZNF673
"chr2:217363456..217363486,-";"p1@ENST00000431856,p1@ENST00000438978,p1@ENST00000453157";4;"0,6";0;"0,2";1;"1,8";"2,889243796";"1,385095664";TATA-less;CpG;ENST00000453157
"chr9:86571628..86571639,-";p2@C9orf64;4;"0,5";0;"0,1";"0,9";"1,8";"2,785260853";"1,390880128";TATA-less;CpG;C9orf64
"chr2:46852227..46852231,+";"p@chr2:46852227..46852231,+";4;"0,5";0;"0,1";"0,9";2;"2,494427841";"1,449154618";TATA-less;CpG-less;"chr2:46852227..46852231,+"
"chr20:524352..524359,-";p4@CSNK2A1;4;"0,5";0;"0,2";"0,9";"1,5";"4,32228511";"1,469285137";TATA-less;CpG;CSNK2A1
"chr14:70793012..70793017,-";"p@chr14:70793012..70793017,-";4;"0,4";0;0;"0,9";"1,7";"3,110579841";"1,477759553";TATA-less;CpG-less;"chr14:70793012..70793017,-"
"chr17:74731204..74731218,+";"p@chr17:74731204..74731218,+";4;"0,4";0;0;"0,9";2;"2,903514115";"1,57731027";TATA-less;CpG-less;"chr17:74731204..74731218,+"
"chr9:131267052..131267065,+";p2@GLE1;4;"0,5";0;"0,1";"0,8";"1,6";"4,345234191";"1,591045269";TATA-less;CpG;GLE1
"chr3:130465690..130465701,-";p2@PIK3R4;4;"0,4";0;0;"0,8";"1,5";"4,211634643";"1,596392439";TATA-less;CpG;PIK3R4
"chr15:41408339..41408360,-";p4@INO80;4;"0,4";0;0;"0,7";"1,66";"3,816813788";"1,664563127";TATA-less;CpG;INO80
"chr19:52772821..52772828,+";p2@ZNF766;4;"0,5";0;"0,2";"0,9";"1,66";"4,641338787";"1,671562781";TATA-less;CpG;ZNF766
"chr9:86571596..86571607,-";p3@C9orf64;4;"0,4";0;0;"0,8";"1,6";"4,694824957";"1,698360474";TATA-less;CpG;C9orf64
"chr18:47339950..47339952,-";p8@ACAA2;4;"0,5";0;0;"0,9";"1,7";"4,934627623";"1,736458444";TATA-less;CpG;ACAA2
"chr2:61244550..61244590,-";p4@PUS10;4;"0,4";0;0;"0,9";"1,8";"4,130598844";"1,74048403";TATA-less;CpG-less;PUS10
"chr7:66119532..66119541,+";p2@ENST00000439360;4;"0,4";0;"0,2";"0,7";"1,4";"6,384016983";"1,811328879";TATA-less;CpG;ENST00000439360
"chr9:100773587..100773598,-";"p@chr9:100773587..100773598,-";4;"0,4";0;"0,1";"0,9";2;"4,417364086";"1,848533446";TATA-less;CpG-less;"chr9:100773587..100773598,-"
"chr11:129872672..129872695,-";p2@PRDM10;4;"0,5";0;"0,1";"0,8";"1,5";"6,762820569";"2,024148339";TATA-less;CpG;PRDM10
"chr10:96122739..96122750,-";p3@NOC3L;4;"0,4";0;0;"0,7";"1,3";"8,190607497";"2,110504604";TATA-less;CpG;NOC3L
"chrX:48980098..48980112,-";p2@GPKOW;"4,1";"0,8";0;"0,4";"1,3";"2,3";"1,497718559";"1,053965053";TATA-less;CpG;GPKOW
"chr16:88636835..88636846,+";p2@ZC3H18;"4,1";"0,7";0;"0,4";"1,2";2;"2,484751317";"1,232839877";TATA-less;CpG;ZC3H18
"chr2:128605204..128605208,-";p2@POLR2D;"4,1";"0,5";0;"0,2";1;2;"2,299816055";"1,361844415";TATA-less;CpG-less;POLR2D
"chr15:30010302..30010336,-";"p@chr15:30010302..30010336,-";"4,1";"0,4";0;0;1;"1,9";"3,430945597";"1,592291355";TATA-less;CpG-less;"chr15:30010302..30010336,-"
"chr1:247095286..247095297,-";p4@AHCTF1;"4,1";"0,4";0;0;"0,8";"1,5";"4,364462162";"1,677216867";TATA-less;CpG;AHCTF1
"chr3:176915036..176915047,-";p13@TBL1XR1;"4,1";"0,4";0;0;"0,7";"1,6";"4,975421576";"1,866116755";TATA-less;CpG-less;TBL1XR1
"chrX:148622251..148622281,+";p3@CXorf40A;"4,1";"0,4";0;0;"0,8";2;"4,254850283";"1,86681895";TATA-less;CpG;CXorf40A
"chr1:115276655..115276673,-";"p@chr1:115276655..115276673,-";"4,1";"0,4";0;"0,1";"0,8";"2,06";"4,400286729";"1,890046921";TATA-less;CpG-less;"chr1:115276655..115276673,-"
"chr7:44869198..44869202,-";"p@chr7:44869198..44869202,-";"4,1";"0,4";0;0;"0,8";"1,7";"4,872157766";"1,894304234";TATA-less;CpG-less;"chr7:44869198..44869202,-"
