	performance	mean	median	min	max	ontologyGroup	group	sortingMethod	features	rna_type
24	accuracy_mean	0.1479472458628842	0.1542500000000001	0.05216666666666664	0.11350000000000016	Delta	PFmid	mann_whitney_pval	Full	lincrna
25	accuracy_std	-0.0030063972842741607	-0.002219929670926546	-0.0029271706596993158	-0.004916791029663872	Delta	PFmid	mann_whitney_pval	Full	lincrna
26	f1_mean	0.14822539664389267	0.1503355910301709	0.08332157371234922	0.1342297323446242	Delta	PFmid	mann_whitney_pval	Full	lincrna
27	f1_std	-0.018671577434494893	-0.016076663466731762	-0.012079114707757264	-0.038095981965803286	Delta	PFmid	mann_whitney_pval	Full	lincrna
28	precision_mean	0.13792144457593458	0.1537340589548527	0.04153283769280025	0.07198570072574473	Delta	PFmid	mann_whitney_pval	Full	lincrna
29	precision_std	-0.005205131944585786	-0.0058896741822784815	-0.009403324266525452	-0.025541177335552723	Delta	PFmid	mann_whitney_pval	Full	lincrna
30	recall_mean	0.13569629482282708	0.1294985551273654	0.11629447511907859	0.19545141753358974	Delta	PFmid	mann_whitney_pval	Full	lincrna
31	recall_std	-0.05366761994080192	-0.057495660424292785	-0.0295109947340639	-0.022914255552024948	Delta	PFmid	mann_whitney_pval	Full	lincrna
0	accuracy_mean	0.5121676272814601	0.5101666666666667	0.425	0.6446666666666665	all	NFlb	fold	Ulzm-vars	mrna
1	accuracy_std	0.054998691233009434	0.05485612494922007	0.03964985638197333	0.0663950717715973	all	NFlb	fold	Ulzm-vars	mrna
2	f1_mean	0.44841356347083783	0.4467787186122885	0.3360550885719313	0.6353412287690771	all	NFlb	fold	Ulzm-vars	mrna
3	f1_std	0.10048959848712677	0.0972939991568083	0.06267733088193217	0.1678088919955305	all	NFlb	fold	Ulzm-vars	mrna
4	precision_mean	0.5370800895693102	0.5324534765303998	0.4276732534027636	0.6800843976923673	all	NFlb	fold	Ulzm-vars	mrna
5	precision_std	0.10779471158383636	0.10524501885104308	0.0671109628006522	0.18470212900922425	all	NFlb	fold	Ulzm-vars	mrna
6	recall_mean	0.4372278022639152	0.4336877645012073	0.3090308690323944	0.6431850640278647	all	NFlb	fold	Ulzm-vars	mrna
7	recall_std	0.17695475272121436	0.17234250613483576	0.09225407153419264	0.30696053869680545	all	NFlb	fold	Ulzm-vars	mrna
8	accuracy_mean	0.4976524822695035	0.4985	0.43016666666666653	0.5724999999999999	lymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
9	accuracy_std	0.05413054328389076	0.05392252672945593	0.04388463411162399	0.0652771867585538	lymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
10	f1_mean	0.43426650149092494	0.4273221005590506	0.3360550885719313	0.5406045555942964	lymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
11	f1_std	0.10641906761590533	0.1059262784037067	0.07054637836241494	0.15604228477523902	lymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
12	precision_mean	0.5235022040441841	0.519520637952844	0.43060775046849664	0.625461443138692	lymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
13	precision_std	0.11171194955905007	0.10899793231740568	0.06910786006122281	0.16267148457528552	lymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
14	recall_mean	0.4319836973696475	0.4196044535026891	0.34432402224797554	0.5475909850538432	lymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
15	recall_std	0.19353792782793208	0.1875026389615644	0.12007248828432532	0.27635928706751595	lymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
16	accuracy_mean	0.5144416666666666	0.5115833333333333	0.425	0.6446666666666665	nonLymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
17	accuracy_std	0.055134701078371366	0.05500376979470387	0.03964985638197333	0.0663950717715973	nonLymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
18	f1_mean	0.4506299365143575	0.4507881461777148	0.3489465616093655	0.6353412287690771	nonLymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
19	f1_std	0.09956064832361815	0.096533660912138	0.06267733088193217	0.1678088919955305	nonLymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
20	precision_mean	0.5392072916349133	0.5365599602068236	0.4276732534027636	0.6800843976923673	nonLymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
21	precision_std	0.10718101096771958	0.10392397214479436	0.0671109628006522	0.18470212900922425	nonLymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
22	recall_mean	0.43804937869735056	0.4374997386678217	0.3090308690323944	0.6431850640278647	nonLymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
23	recall_std	0.17435672195449523	0.1702801863355185	0.09225407153419264	0.30696053869680545	nonLymphoMyeloid	NFlb	fold	Ulzm-vars	mrna
24	accuracy_mean	-0.016789184397163093	-0.01308333333333328	0.005166666666666542	-0.0721666666666666	Delta	NFlb	fold	Ulzm-vars	mrna
25	accuracy_std	-0.0010041577944806049	-0.0010812430652479416	0.0042347777296506545	-0.0011178850130434959	Delta	NFlb	fold	Ulzm-vars	mrna
26	f1_mean	-0.01636343502343257	-0.023466045618664166	-0.012891473037434209	-0.09473667317478063	Delta	NFlb	fold	Ulzm-vars	mrna
27	f1_std	0.006858419292287185	0.009392617491568708	0.007869047480482769	-0.011766607220291492	Delta	NFlb	fold	Ulzm-vars	mrna
28	precision_mean	-0.015705087590729194	-0.01703932225397964	0.002934497065733066	-0.054622954553675274	Delta	NFlb	fold	Ulzm-vars	mrna
29	precision_std	0.004530938591330497	0.0050739601726113165	0.001996897260570618	-0.022030644433938734	Delta	NFlb	fold	Ulzm-vars	mrna
30	recall_mean	-0.006065681327703076	-0.017895285165132613	0.03529315321558113	-0.0955940789740215	Delta	NFlb	fold	Ulzm-vars	mrna
31	recall_std	0.019181205873436857	0.01722245262604591	0.027818416750132677	-0.030601251629289505	Delta	NFlb	fold	Ulzm-vars	mrna
0	accuracy_mean	0.8789903938520655	0.8846666666666667	0.7088333333333335	0.9565	all	NFlb	fold	final	lincrna
1	accuracy_std	0.036430944301309956	0.036314597615834866	0.0239002556936578	0.05284043064842594	all	NFlb	fold	final	lincrna
2	f1_mean	0.8666679470409047	0.8744977924875357	0.6417475599318023	0.954949714081556	all	NFlb	fold	final	lincrna
3	f1_std	0.04194861931510159	0.041360033555037	0.023320889386762616	0.07017010168395284	all	NFlb	fold	final	lincrna
4	precision_mean	0.9352016366897267	0.9418386987855688	0.8130961970813396	0.9716998485940708	all	NFlb	fold	final	lincrna
5	precision_std	0.047629066502615794	0.04650947821224398	0.026386838088123327	0.0986611144485804	all	NFlb	fold	final	lincrna
6	recall_mean	0.8125367908125486	0.8193441429928415	0.5354143295849689	0.9428886814012044	all	NFlb	fold	final	lincrna
7	recall_std	0.06409757128502164	0.06431624981461148	0.035195186384017856	0.09326661853403477	all	NFlb	fold	final	lincrna
8	accuracy_mean	0.880578014184397	0.8811666666666668	0.7651666666666667	0.954	lymphoMyeloid	NFlb	fold	final	lincrna
9	accuracy_std	0.03564673560768157	0.03604164258188018	0.0239002556936578	0.04743972784257704	lymphoMyeloid	NFlb	fold	final	lincrna
10	f1_mean	0.8696690530039223	0.8700961033115697	0.7392556107705452	0.952109395497626	lymphoMyeloid	NFlb	fold	final	lincrna
11	f1_std	0.04051790930905167	0.04041260315591432	0.023320889386762616	0.054605224786220916	lymphoMyeloid	NFlb	fold	final	lincrna
12	precision_mean	0.9306855176842398	0.9330418606312468	0.8186516408989042	0.971168201869322	lymphoMyeloid	NFlb	fold	final	lincrna
13	precision_std	0.048520878490665935	0.049138876626450334	0.028212226999587493	0.0760541684043018	lymphoMyeloid	NFlb	fold	final	lincrna
14	recall_mean	0.8205726587743637	0.8167657121746958	0.679896164682907	0.9428886814012044	lymphoMyeloid	NFlb	fold	final	lincrna
15	recall_std	0.06146230722843548	0.06266349927152362	0.035195186384017856	0.07730426360099882	lymphoMyeloid	NFlb	fold	final	lincrna
16	accuracy_mean	0.8787416666666666	0.8855833333333334	0.7088333333333335	0.9565	nonLymphoMyeloid	NFlb	fold	final	lincrna
17	accuracy_std	0.036553803663311735	0.036354729872487966	0.024868543271459303	0.05284043064842594	nonLymphoMyeloid	NFlb	fold	final	lincrna
18	f1_mean	0.8661977737733654	0.8756057102305255	0.6417475599318023	0.954949714081556	nonLymphoMyeloid	NFlb	fold	final	lincrna
19	f1_std	0.04217276388271608	0.04141438492430001	0.026331337635882832	0.07017010168395284	nonLymphoMyeloid	NFlb	fold	final	lincrna
20	precision_mean	0.9359091620005863	0.9432126397407956	0.8130961970813396	0.9716998485940708	nonLymphoMyeloid	NFlb	fold	final	lincrna
21	precision_std	0.0474893492911546	0.04568972896969404	0.026386838088123327	0.0986611144485804	nonLymphoMyeloid	NFlb	fold	final	lincrna
22	recall_mean	0.8112778381651975	0.8194873362222546	0.5354143295849689	0.9412237986904038	nonLymphoMyeloid	NFlb	fold	final	lincrna
23	recall_std	0.06451042932055347	0.06482453965152209	0.043195070672906254	0.09326661853403477	nonLymphoMyeloid	NFlb	fold	final	lincrna
24	accuracy_mean	0.001836347517730319	-0.004416666666666624	0.056333333333333124	-0.0025000000000000577	Delta	NFlb	fold	final	lincrna
25	accuracy_std	-0.0009070680556301641	-0.00031308729060778445	-0.0009682875778015028	-0.005400702805848902	Delta	NFlb	fold	final	lincrna
26	f1_mean	0.0034712792305569007	-0.005509606918955745	0.09750805083874292	-0.0028403185839300793	Delta	NFlb	fold	final	lincrna
27	f1_std	-0.0016548545736644119	-0.0010017817683856886	-0.0030104482491202164	-0.015564876897731922	Delta	NFlb	fold	final	lincrna
28	precision_mean	-0.005223644316346476	-0.010170779109548778	0.005555443817564565	-0.0005316467247488132	Delta	NFlb	fold	final	lincrna
29	precision_std	0.0010315291995113343	0.003449147656756295	0.0018253889114641653	-0.022606946044278597	Delta	NFlb	fold	final	lincrna
30	recall_mean	0.009294820609166199	-0.002721624047558713	0.1444818350979381	0.0016648827108005637	Delta	NFlb	fold	final	lincrna
31	recall_std	-0.003048122092117987	-0.002161040379998466	-0.007999884288888398	-0.015962354933035952	Delta	NFlb	fold	final	lincrna
0	accuracy_mean	0.8824894332372719	0.8784999999999998	0.7568333333333332	0.9786666666666666	all	PFlb	fold	Ulzs	mrna
1	accuracy_std	0.03418375572133647	0.035156791662493886	0.015028676292711582	0.05277283602595395	all	PFlb	fold	Ulzs	mrna
2	f1_mean	0.874750662342261	0.8725995814796405	0.7112940751247524	0.9785344787804638	all	PFlb	fold	Ulzs	mrna
3	f1_std	0.03852170639196473	0.039273988182564515	0.014981659877409518	0.06605309275236447	all	PFlb	fold	Ulzs	mrna
4	precision_mean	0.9055060607444819	0.9020800722040054	0.8271198737295637	0.9690725165045216	all	PFlb	fold	Ulzs	mrna
5	precision_std	0.05116667557333608	0.05428625409184332	0.028055737211874498	0.07649161223683447	all	PFlb	fold	Ulzs	mrna
6	recall_mean	0.8517123419213969	0.8475689789619321	0.6127893587648018	0.9976871554627206	all	PFlb	fold	Ulzs	mrna
7	recall_std	0.05903330397216926	0.06125729814340435	0.009589944509212793	0.09725934398197827	all	PFlb	fold	Ulzs	mrna
8	accuracy_mean	0.887890070921986	0.8893333333333334	0.7789999999999999	0.9698333333333332	lymphoMyeloid	PFlb	fold	Ulzs	mrna
9	accuracy_std	0.03332798968950992	0.034360830412937735	0.01521968754241981	0.05277283602595395	lymphoMyeloid	PFlb	fold	Ulzs	mrna
10	f1_mean	0.8806158083994926	0.8840815849259519	0.7519002636929781	0.9692899330036794	lymphoMyeloid	PFlb	fold	Ulzs	mrna
11	f1_std	0.03726638913222068	0.03809278198186822	0.016164921199301244	0.06605309275236447	lymphoMyeloid	PFlb	fold	Ulzs	mrna
12	precision_mean	0.9076663936835342	0.9153782404158174	0.8403348674720112	0.9623853783755436	lymphoMyeloid	PFlb	fold	Ulzs	mrna
13	precision_std	0.049758459525889746	0.051566130736474536	0.030096194760411275	0.06649152473126042	lymphoMyeloid	PFlb	fold	Ulzs	mrna
14	recall_mean	0.860825183713724	0.854270171614272	0.6881064916999309	0.9772737957994354	lymphoMyeloid	PFlb	fold	Ulzs	mrna
15	recall_std	0.0567139125547544	0.05739608933747775	0.02296431183417517	0.09370075726154292	lymphoMyeloid	PFlb	fold	Ulzs	mrna
16	accuracy_mean	0.8816433333333333	0.8775	0.7568333333333332	0.9786666666666666	nonLymphoMyeloid	PFlb	fold	Ulzs	mrna
17	accuracy_std	0.034317825732989304	0.03527176117794652	0.015028676292711582	0.05266745779996515	nonLymphoMyeloid	PFlb	fold	Ulzs	mrna
18	f1_mean	0.8738317894599614	0.8709971825966601	0.7112940751247524	0.9785344787804638	nonLymphoMyeloid	PFlb	fold	Ulzs	mrna
19	f1_std	0.038718372762657965	0.03961936357303701	0.014981659877409518	0.06223714266457056	nonLymphoMyeloid	PFlb	fold	Ulzs	mrna
20	precision_mean	0.9051676085840306	0.9008447030506211	0.8271198737295637	0.9690725165045216	nonLymphoMyeloid	PFlb	fold	Ulzs	mrna
21	precision_std	0.051387296087436	0.05441609728644455	0.028055737211874498	0.07649161223683447	nonLymphoMyeloid	PFlb	fold	Ulzs	mrna
22	recall_mean	0.8502846633739324	0.8450190315302428	0.6127893587648018	0.9976871554627206	nonLymphoMyeloid	PFlb	fold	Ulzs	mrna
23	recall_std	0.05939667529423091	0.06184525333120065	0.009589944509212793	0.09725934398197827	nonLymphoMyeloid	PFlb	fold	Ulzs	mrna
24	accuracy_mean	0.006246737588652684	0.011833333333333473	0.022166666666666668	-0.00883333333333336	Delta	PFlb	fold	Ulzs	mrna
25	accuracy_std	-0.0009898360434793876	-0.0009109307650087828	0.00019101124970822767	0.00010537822598880031	Delta	PFlb	fold	Ulzs	mrna
26	f1_mean	0.006784018939531178	0.013084402329291756	0.04060618856822573	-0.009244545776784463	Delta	PFlb	fold	Ulzs	mrna
27	f1_std	-0.0014519836304372827	-0.0015265815911687936	0.0011832613218917265	0.0038159500877939095	Delta	PFlb	fold	Ulzs	mrna
28	precision_mean	0.002498785099503631	0.014533537365196247	0.0132149937424475	-0.006687138128978032	Delta	PFlb	fold	Ulzs	mrna
29	precision_std	-0.0016288365615462555	-0.0028499665499700164	0.0020404575485367775	-0.010000087505574046	Delta	PFlb	fold	Ulzs	mrna
30	recall_mean	0.010540520339791581	0.009251140084029164	0.0753171329351291	-0.02041335966328517	Delta	PFlb	fold	Ulzs	mrna
31	recall_std	-0.002682762739476513	-0.004449163993722902	0.013374367324962378	-0.0035585867204353527	Delta	PFlb	fold	Ulzs	mrna
0	accuracy_mean	0.9480341018251682	0.949	0.8753333333333332	0.988	all	blb	fold	Ulzm-vars-peaks	mrna
1	accuracy_std	0.024989056874547614	0.02539192785118924	0.011803954139750524	0.03840428216864479	all	blb	fold	Ulzm-vars-peaks	mrna
2	f1_mean	0.9460956305335149	0.9472574405381904	0.8670700714427712	0.9879453359487	all	blb	fold	Ulzm-vars-peaks	mrna
3	f1_std	0.026338532378477667	0.02650089230886537	0.011638245308345523	0.046756875020162667	all	blb	fold	Ulzm-vars-peaks	mrna
4	precision_mean	0.957346037876262	0.9616759690296972	0.9062512086788088	0.9798251979831498	all	blb	fold	Ulzm-vars-peaks	mrna
5	precision_std	0.034764965594337414	0.033079343294347766	0.02257127590275608	0.05610745246704275	all	blb	fold	Ulzm-vars-peaks	mrna
6	recall_mean	0.9370596904048615	0.9383190318251292	0.8360244903646524	0.9977666034155598	all	blb	fold	Ulzm-vars-peaks	mrna
7	recall_std	0.039553800560664876	0.0402919561906029	0.009788394720080671	0.0750413987946827	all	blb	fold	Ulzm-vars-peaks	mrna
8	accuracy_mean	0.9455602836879432	0.9438333333333336	0.8753333333333332	0.9791666666666664	lymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
9	accuracy_std	0.025469285760010493	0.025822040542485745	0.016377491328717658	0.03840428216864479	lymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
10	f1_mean	0.9433402755850204	0.9421186036040106	0.8670700714427712	0.9787207068763764	lymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
11	f1_std	0.027228654922295252	0.026850658795801882	0.01631513714456103	0.046756875020162667	lymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
12	precision_mean	0.9555441377804095	0.9587778993333278	0.9062512086788088	0.9737684755871112	lymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
13	precision_std	0.035449539263292786	0.033771220864001944	0.026104486453204758	0.05610745246704275	lymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
14	recall_mean	0.9336014817241725	0.9349150580375992	0.8360244903646524	0.9887750622781619	lymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
15	recall_std	0.04092173223734381	0.041517046649898616	0.01798906807940236	0.0750413987946827	lymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
16	accuracy_mean	0.9484216666666668	0.9495833333333334	0.8960000000000001	0.988	nonLymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
17	accuracy_std	0.024913821015825094	0.02535467853473071	0.011803954139750524	0.03562926387738658	nonLymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
18	f1_mean	0.9465273028087791	0.9483154299552445	0.8893738178646029	0.9879453359487	nonLymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
19	f1_std	0.026199079846612912	0.026496870296125026	0.011638245308345523	0.040048311542264466	nonLymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
20	precision_mean	0.9576283355579456	0.9619545722644853	0.92493045463221	0.9798251979831498	nonLymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
21	precision_std	0.0346577157195344	0.03305863799898452	0.02257127590275608	0.050843410576380366	nonLymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
22	recall_mean	0.9376014764315027	0.9387823700087392	0.8576017899263161	0.9977666034155598	nonLymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
23	recall_std	0.03933949126465183	0.04008339035713405	0.009788394720080671	0.06635626602708555	nonLymphoMyeloid	blb	fold	Ulzm-vars-peaks	mrna
24	accuracy_mean	-0.0028613829787236256	-0.005749999999999811	-0.020666666666666944	-0.008833333333333582	Delta	blb	fold	Ulzm-vars-peaks	mrna
25	accuracy_std	0.0005554647441853994	0.00046736200775503514	0.004573537188967134	0.002775018291258209	Delta	blb	fold	Ulzm-vars-peaks	mrna
26	f1_mean	-0.0031870272237586317	-0.006196826351233975	-0.02230374642183175	-0.009224629072323687	Delta	blb	fold	Ulzm-vars-peaks	mrna
27	f1_std	0.0010295750756823402	0.00035378849967685616	0.004676891836215507	0.006708563477898201	Delta	blb	fold	Ulzm-vars-peaks	mrna
28	precision_mean	-0.002084197777536101	-0.0031766729311575315	-0.018679245953401202	-0.006056722396038605	Delta	blb	fold	Ulzm-vars-peaks	mrna
29	precision_std	0.0007918235437583826	0.0007125828650174221	0.003533210550448678	0.005264041890662381	Delta	blb	fold	Ulzm-vars-peaks	mrna
30	recall_mean	-0.003999994707330257	-0.003867311971139986	-0.021577299561663654	-0.008991541137397863	Delta	blb	fold	Ulzm-vars-peaks	mrna
31	recall_std	0.0015822409726919742	0.001433656292764568	0.008200673359321689	0.00868513276759715	Delta	blb	fold	Ulzm-vars-peaks	mrna
0	accuracy_mean	0.7526359269932758	0.7613333333333333	0.429	0.9246666666666667	all	PFlb	mann_whitney_pval	Ulzm-var	mrna
1	accuracy_std	0.046549718061848364	0.046950328362359024	0.025806975801127868	0.06255553088612105	all	PFlb	mann_whitney_pval	Ulzm-var	mrna
2	f1_mean	0.7169738514364535	0.7251226812089058	0.3994007121151001	0.9201122524695936	all	PFlb	mann_whitney_pval	Ulzm-var	mrna
3	f1_std	0.0593255033367364	0.05714451014748158	0.0285625062368034	0.16560225101313808	all	PFlb	mann_whitney_pval	Ulzm-var	mrna
4	precision_mean	0.8138720295886273	0.8291974624982991	0.4396826697350867	0.96476262518849	all	PFlb	mann_whitney_pval	Ulzm-var	mrna
5	precision_std	0.07267403211292237	0.06790173188974108	0.03037682514399233	0.15847962238151478	all	PFlb	mann_whitney_pval	Ulzm-var	mrna
6	recall_mean	0.6553908811964034	0.658369043943315	0.3555348907803668	0.9015271442060324	all	PFlb	mann_whitney_pval	Ulzm-var	mrna
7	recall_std	0.08641116712048894	0.08119832861327232	0.048753433068552725	0.3035420231841205	all	PFlb	mann_whitney_pval	Ulzm-var	mrna
8	accuracy_mean	0.739095744680851	0.7431666666666666	0.4813333333333333	0.9215	lymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
9	accuracy_std	0.04762169265689332	0.0485042953424402	0.03017127036694934	0.061709669690684074	lymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
10	f1_mean	0.7006328649295305	0.7074814897565218	0.3994007121151001	0.9162263515225604	lymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
11	f1_std	0.06169904890843715	0.05889867380934548	0.03252358349800689	0.11781955569456234	lymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
12	precision_mean	0.8059266254853746	0.8137052492894401	0.5059189548903498	0.96476262518849	lymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
13	precision_std	0.07854976607257386	0.07991418329304438	0.03037682514399233	0.13534314001539752	lymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
14	recall_mean	0.6374293603599795	0.6337221427607679	0.3744086694012251	0.8757370822550564	lymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
15	recall_std	0.08913483782470108	0.08350523842265903	0.052414032782781485	0.21697254763631	lymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
16	accuracy_mean	0.7547572222222222	0.7639999999999999	0.429	0.9246666666666667	nonLymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
17	accuracy_std	0.046381775375291326	0.046626021345860635	0.025806975801127868	0.06255553088612105	nonLymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
18	f1_mean	0.7195339393225382	0.7299770710140989	0.3997983276874759	0.9201122524695936	nonLymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
19	f1_std	0.05895364786383662	0.05677041524433102	0.0285625062368034	0.16560225101313808	nonLymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
20	precision_mean	0.8151168095648033	0.8312952544165337	0.4396826697350867	0.9589495651866144	nonLymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
21	precision_std	0.07175350045924363	0.0668449528720925	0.03390399275529203	0.15847962238151478	nonLymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
22	recall_mean	0.6582048527941098	0.6624632871841362	0.3555348907803668	0.9015271442060324	nonLymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
23	recall_std	0.08598445871016236	0.08076823659552038	0.048753433068552725	0.3035420231841205	nonLymphoMyeloid	PFlb	mann_whitney_pval	Ulzm-var	mrna
24	accuracy_mean	-0.01566147754137115	-0.02083333333333326	0.05233333333333329	-0.003166666666666762	Delta	PFlb	mann_whitney_pval	Ulzm-var	mrna
25	accuracy_std	0.0012399172816019918	0.0018782739965795617	0.004364294565821471	-0.0008458611954369755	Delta	PFlb	mann_whitney_pval	Ulzm-var	mrna
26	f1_mean	-0.0189010743930077	-0.022495581257577113	-0.00039761557237583123	-0.0038859009470332273	Delta	PFlb	mann_whitney_pval	Ulzm-var	mrna
27	f1_std	0.002745401044600533	0.0021282585650144598	0.003961077261203486	-0.047782695318575735	Delta	PFlb	mann_whitney_pval	Ulzm-var	mrna
28	precision_mean	-0.00919018407942862	-0.017590005127093633	0.06623628515526309	0.005813060001875536	Delta	PFlb	mann_whitney_pval	Ulzm-var	mrna
29	precision_std	0.00679626561333023	0.013069230420951886	-0.0035271676112996996	-0.02313648236611726	Delta	PFlb	mann_whitney_pval	Ulzm-var	mrna
30	recall_mean	-0.02077549243413024	-0.02874114442336828	0.01887377862085826	-0.025790061950975995	Delta	PFlb	mann_whitney_pval	Ulzm-var	mrna
31	recall_std	0.0031503791145387205	0.002737001827138652	0.00366059971422876	-0.0865694755478105	Delta	PFlb	mann_whitney_pval	Ulzm-var	mrna
